round,accuracy,mean_loss,mean_split,sigma_mean
1,71.68,1.0770343448638915,nan,0.0
2,82.28,0.6643722496668498,nan,0.0
3,82.08,0.529638466310501,nan,0.0
4,84.15,0.4632932065010071,nan,0.0
5,85.4,0.4206387114683787,nan,0.0
6,87.33,0.38626387764612835,nan,0.0
7,87.99,0.3539510875542959,nan,0.0
8,88.37,0.3362257023175557,nan,0.0
9,88.75,0.32220080603758494,nan,0.0
10,89.8,0.2991744023482005,nan,0.0
11,89.93,0.28548148639996845,nan,0.0
12,89.96,0.2783410194238027,nan,0.0
13,89.53,0.27351918364365896,nan,0.0
14,89.11,0.26045502320130665,nan,0.0
15,90.44,0.25164272281328837,nan,0.0
16,90.49,0.24361342883904774,nan,0.0
17,89.75,0.23802880760033926,nan,0.0
18,89.4,0.23044293195406595,nan,0.0
19,90.13,0.22112720503807068,nan,0.0
20,90.24,0.2199515369017919,nan,0.0
21,89.7,0.21103029666344325,nan,0.0
22,90.26,0.210387579536438,nan,0.0
23,90.55,0.20238004795710246,nan,0.0
24,90.81,0.19344624888102213,nan,0.0
25,91.26,0.19494935737450916,nan,0.0
