round,accuracy,mean_loss,mean_split,sigma_mean,client0_split,client1_split,client2_split,client3_split,client4_split
1,48.76,2.0059590909322105,5.8,0.3,2.0,2.0,5.0,10.0,10.0
2,63.35,1.3570577133178712,5.8,0.291,2.0,2.0,5.0,10.0,10.0
3,70.47,1.092062128130595,5.8,0.28226999999999997,2.0,2.0,5.0,10.0,10.0
4,72.1,0.9480578111330669,5.8,0.27380189999999993,2.0,2.0,5.0,10.0,10.0
5,72.45,0.8642900184631348,5.8,0.26558784299999993,2.0,2.0,5.0,10.0,10.0
6,75.31,0.8134880456606547,5.8,0.25762020770999994,2.0,2.0,5.0,10.0,10.0
7,75.94,0.765925962861379,5.8,0.24989160147869996,2.0,2.0,5.0,10.0,10.0
8,77.53,0.7450718618710835,5.8,0.24239485343433892,2.0,2.0,5.0,10.0,10.0
9,78.44,0.7129062454859415,5.8,0.23512300783130874,2.0,2.0,5.0,10.0,10.0
10,79.75,0.6897193163871765,5.8,0.22806931759636945,2.0,2.0,5.0,10.0,10.0
11,80.36,0.6584707420031229,5.8,0.22122723806847838,2.0,2.0,5.0,10.0,10.0
12,81.29,0.6391683888435363,5.8,0.22122723806847838,2.0,2.0,5.0,10.0,10.0
13,81.95,0.6152302085558573,5.8,0.22122723806847838,2.0,2.0,5.0,10.0,10.0
14,82.82,0.5916668241024017,5.8,0.22122723806847838,2.0,2.0,5.0,10.0,10.0
15,83.42,0.5752346813837688,5.8,0.22122723806847838,2.0,2.0,5.0,10.0,10.0
16,83.5,0.5584789702415465,5.8,0.22122723806847838,2.0,2.0,5.0,10.0,10.0
17,84.48,0.5442058518409729,5.8,0.22122723806847838,2.0,2.0,5.0,10.0,10.0
18,84.37,0.5343887253920238,5.8,0.22122723806847838,2.0,2.0,5.0,10.0,10.0
19,84.6,0.5167629882653554,5.8,0.22122723806847838,2.0,2.0,5.0,10.0,10.0
20,85.26,0.5075902828852336,5.8,0.22122723806847838,2.0,2.0,5.0,10.0,10.0
21,85.51,0.4985104213555654,5.8,0.22122723806847838,2.0,2.0,5.0,10.0,10.0
22,85.37,0.4889859843571981,5.8,0.22122723806847838,2.0,2.0,5.0,10.0,10.0
23,85.73,0.47504014984766646,5.8,0.22122723806847838,2.0,2.0,5.0,10.0,10.0
24,85.77,0.46921548846562705,5.8,0.22122723806847838,2.0,2.0,5.0,10.0,10.0
25,86.49,0.4603857533931732,5.8,0.22122723806847838,2.0,2.0,5.0,10.0,10.0
