round,accuracy,mean_loss,mean_split,sigma_mean,client0_split,client1_split,client2_split,client3_split,client4_split
1,23.2,2.123411488978068,5.8,1.0,2.0,2.0,5.0,10.0,10.0
2,47.9,1.6273541500091553,5.8,0.95,2.0,2.0,5.0,10.0,10.0
3,53.98,1.3330431172053019,5.8,0.9025000000000001,2.0,2.0,5.0,10.0,10.0
4,58.27,1.2225762664794921,5.8,0.8573749999999999,2.0,2.0,5.0,10.0,10.0
5,66.79,1.1056761100769044,5.8,0.8145062499999998,2.0,2.0,5.0,10.0,10.0
6,69.23,1.0095682923316958,5.8,0.7737809374999999,2.0,2.0,5.0,10.0,10.0
7,71.85,0.9305807415326436,5.8,0.7350918906249998,2.0,2.0,5.0,10.0,10.0
8,72.73,0.8841158253033956,5.8,0.6983372960937497,2.0,2.0,5.0,10.0,10.0
9,74.3,0.8304445271492005,5.8,0.6634204312890623,2.0,2.0,5.0,10.0,10.0
10,74.67,0.8022053373654684,5.8,0.6302494097246091,2.0,2.0,5.0,10.0,10.0
11,76.39,0.7668116001764933,5.8,0.5987369392383786,2.0,2.0,5.0,10.0,10.0
12,76.58,0.7369972001075744,5.8,0.5688000922764596,2.0,2.0,5.0,10.0,10.0
13,77.38,0.7208966165542602,5.8,0.5403600876626365,2.0,2.0,5.0,10.0,10.0
14,77.65,0.7040180940945944,5.8,0.5133420832795047,2.0,2.0,5.0,10.0,10.0
15,79.05,0.6757741937478383,5.8,0.48767497911552943,2.0,2.0,5.0,10.0,10.0
16,78.55,0.6588765946865082,5.8,0.46329123015975293,2.0,2.0,5.0,10.0,10.0
17,79.22,0.6367507036368053,5.8,0.4401266686517652,2.0,2.0,5.0,10.0,10.0
18,80.54,0.6190326524098715,5.8,0.418120335219177,2.0,2.0,5.0,10.0,10.0
19,81.12,0.6039431885401407,5.8,0.418120335219177,2.0,2.0,5.0,10.0,10.0
20,81.92,0.5909004948933919,5.8,0.418120335219177,2.0,2.0,5.0,10.0,10.0
21,82.43,0.5736021450360617,5.8,0.418120335219177,2.0,2.0,5.0,10.0,10.0
22,82.64,0.5632284428596497,5.8,0.418120335219177,2.0,2.0,5.0,10.0,10.0
23,82.99,0.5542019577980042,5.8,0.418120335219177,2.0,2.0,5.0,10.0,10.0
24,83.39,0.5430316275278727,5.8,0.418120335219177,2.0,2.0,5.0,10.0,10.0
25,83.55,0.5330456919670106,5.8,0.418120335219177,2.0,2.0,5.0,10.0,10.0
