round,accuracy,mean_loss,mean_split,sigma_mean,client0_split,client1_split,client2_split,client3_split,client4_split
1,38.16,1.9493853958765666,6.0,0.5,6.0,6.0,6.0,6.0,6.0
2,62.44,1.3591159742355345,6.0,0.5,6.0,6.0,6.0,6.0,6.0
3,69.39,1.1020358293215433,6.0,0.5,6.0,6.0,6.0,6.0,6.0
4,71.34,0.9539386611938475,6.0,0.5,6.0,6.0,6.0,6.0,6.0
5,71.89,0.8646969621976217,6.0,0.5,6.0,6.0,6.0,6.0,6.0
6,74.59,0.7986894567807516,6.0,0.5,6.0,6.0,6.0,6.0,6.0
7,75.58,0.7676042249997458,6.0,0.5,6.0,6.0,6.0,6.0,6.0
8,77.48,0.724632472896576,6.0,0.5,6.0,6.0,6.0,6.0,6.0
9,78.15,0.6898954641977946,6.0,0.5,6.0,6.0,6.0,6.0,6.0
10,78.79,0.6700967229525248,6.0,0.5,6.0,6.0,6.0,6.0,6.0
11,80.44,0.6461882571697235,6.0,0.5,6.0,6.0,6.0,6.0,6.0
12,80.63,0.6277703171730041,6.0,0.5,6.0,6.0,6.0,6.0,6.0
13,81.19,0.5988463901519776,6.0,0.5,6.0,6.0,6.0,6.0,6.0
14,82.87,0.5776085286935171,6.0,0.5,6.0,6.0,6.0,6.0,6.0
15,83.32,0.5631648759524028,6.0,0.5,6.0,6.0,6.0,6.0,6.0
16,83.46,0.5491069411118825,6.0,0.5,6.0,6.0,6.0,6.0,6.0
17,83.94,0.5325976176102956,6.0,0.5,6.0,6.0,6.0,6.0,6.0
18,84.53,0.5162484563350678,6.0,0.5,6.0,6.0,6.0,6.0,6.0
19,84.95,0.4967648037115732,6.0,0.5,6.0,6.0,6.0,6.0,6.0
20,85.06,0.4874098307927449,6.0,0.5,6.0,6.0,6.0,6.0,6.0
21,85.13,0.4737025192101797,6.0,0.5,6.0,6.0,6.0,6.0,6.0
22,85.73,0.46444919277032215,6.0,0.5,6.0,6.0,6.0,6.0,6.0
23,86.02,0.45512925182978314,6.0,0.5,6.0,6.0,6.0,6.0,6.0
24,85.72,0.45017505513827005,6.0,0.5,6.0,6.0,6.0,6.0,6.0
25,86.35,0.43637748478253685,6.0,0.5,6.0,6.0,6.0,6.0,6.0
